"Peak","VIP value"
"L.Proline","0.800558931557165"
"L.Leucine","0.548076839011635"
"Uric.acid","0.470311422534622"
"cis.Aconitic.acid","1.62087406047341"
"D.Glucurono.6.3.lactone","0.529249365970768"
"Isocitric.acid","1.68031840599126"
"Gluconic.acid","0.529904872899771"
"Glycerylphosphorylethanolamine","0.688608075764789"
"Pantothenic.acid","0.197610450344235"
"Cytidine","0.227576998917231"
"X7.8.Dihydroneopterin","1.03279819904105"
"X5.Aminoimidazole.ribonucleotide","1.38874351490571"
"Phytosphingosine","1.0970865263992"
"Biocytin","1.15082429675641"
"IDP","1.59359340107579"
"PC.14.0.20.3.5Z.8Z.11Z..","0.445061053469882"
